jurisdiction,state,ordinance,alpr_status,vendor,ordinance_process_used,deliberation_code,retention_number,number_instrument,adoption_date,vote,source_quality,source,confidence,notes
Oakland,CA,Mun. Code 9.64 (CCOPS),OPERATING,Flock Safety,yes: Surveillance Impact Report + use policy (DGO I-12) + council vote under OMC 9.64.020.2,DELIBERATED_NUMBER,30,Council Resolution 89952 C.M.S. adopting DGO I-12,2023-10-17,8-0 (Aye: Fife Gallo Jenkins Kalb Kaplan Ramachandran Reid Fortunato Bas),PRIMARY,closure:f121-adoption-records,HIGH,"F121 hit 1. Staff report records OPD and the Privacy Advisory Commission 'agreed to a 1-month (30 day) retention period' after 'further consideration and discussion'; PAC recommendation 2023-10-05; readopted 2024-07-16 (Reso 90357) with the identical sentence. Flock's own default is never cited in the record. The number was negotiated, and it landed on the vendor's value."
Palo Alto,CA,Admin. Code 2.30.620-.690 (CCOPS),OPERATING,Flock Safety,yes: council action item bundling the contract and the ALPR Surveillance Use Policy,DELIBERATED_NUMBER,30,Council action item 11 (Action Minutes),2023-04-03,7-0,PRIMARY,closure:f121-adoption-records,HIGH,"F121 hit 2. The staff report named the prevailing one-year-and-longer norm, rejected it with an investigative-needs rationale, and asked council to adopt 30. Confirmed twice. Separately the council-adopted instrument states the rule as something the vendor does ('Flock Safety will purge the data 30 days after collection')."
Santa Clara County,CA,Ordinance Code A40 (CCOPS),TERMINATED for sheriff-operated city systems,Flock Safety (barred as vendor by the condition),yes: consolidated Surveillance Use Policy for three jurisdictions approved as amended,VENDOR_CONDITION,30 (city systems prior to termination),Board of Supervisors minutes Item 8 (consolidated SUP),2026-02-24,3-2 (Duong Lee Abe-Koga; nays Arenas Ellenberg),PRIMARY,closure:sccso-ban-oakley,HIGH,"Scoped condition, not a countywide ban: 'Flock Safety is not used as a vendor or contractor' for the ALPR systems the Sheriff operates for Saratoga, Cupertino and Los Altos Hills. The Sheriff's own 2026-02-26 release states it is consequently required to stop accessing and operating the Cupertino and Saratoga cameras. The deliberated object was the VENDOR, not the number."
BART,CA,BART Code Title 17 (CCOPS-style surveillance ordinance),TERMINATED (Motorola ALPR contract ended per the 2025 Surveillance Annual Report),Motorola Solutions (BART's own reports; 'Vigilant' appears in none of twelve BART documents),yes: board-adopted ALPR Surveillance Use Policy plus annual surveillance reports,UNRESOLVED,30 (routine); 1 year for active-investigation data; 5 years for parking-citation data,BPD-ALPR-SUP-02 (board-adopted),2019-10-24,Board approval (tally not captured),PRIMARY for the policy text,closure:bart-vendor-retention,MODERATE,"NUMBER-DELIBERATION NOT ESTABLISHED within budget. Retires F81: a non-Flock California agency sits at 30 for routine ALPR data ('Routine Data Collection shall not be stored beyond 30 days'), citing 'thirty (30) days as outlined in section 707.1.5 of BART Surveillance Ordinance'. Whether the BOARD discussed the 30 itself was not established within budget; the policy names no vendor and routes data through NCRIC. Do not print 30 as a blanket cap."
Berkeley,CA,BMC Ch. 2.99 (CCOPS),"OPERATING — 52 fixed Flock Safety ALPR cameras; Council authorized a 12-month contract extension (up to $200,000) on 2026-05-07 by Resolution No. 72,254–N.S., after rejecting the broader Master Services Agreement; the Ma","Flock Safety. Note the split: the adopted Surveillance Use Policy (BPD Policy 1305) never names the vendor — it says only ""ALPR vendor"" throughout. Flock is named in the contract instruments (2023-10-","YES — full BMC 2.99 process, and unusually complete. Surveillance Acquisition Report + proposed Use Policies (BPD 422 and 1305) went to the Police Accountability Board in May 2023; ODPA produced an independent review report; PAB held a June 16, 2023 special me",NUMBER_IN_INSTRUMENT_ONLY,"30 days. BPD Policy 1305 § 1305.8 DATA RETENTION: ALPR data on the server ""stored for no longer than 30 days,"" and ""The ALPR vendor will purge their data at the end of the 30 days of storage,"" subject to an evidentiary carve-out (data that is or may become evi","Berkeley Police Department Policy 1305, ""Surveillance Use Policy-Fixed Automated License Plate Readers (ALPRs),"" Law Enforcement Services Manual, § 1305.8 DATA RETENTION. The published document carries the imprint ""Copyright Lexipol, LLC 20","2023-07-25 — Surveillance Acquisition Report accepted and Surveillance Use Policy approved (Res. No. 71,013–N.S.). Contract authority approved 2023-10-10; contract executed July 2024, expiring July 20","ADOPTION 2023-07-25, Item 38a: ""M/S/C (Taplin/Humbert) to adopt Resolution No. 71,013–N.S. in Item 38a."" Vote: Ayes — Kesarwani, Taplin, Wengraf, Robinson, Humbert, Arreguín (6); Noes — Bartlett (1); Abstain — Hahn (1); Absent — Harrison. T",PRIMARY,batch1:ccops-berkeley,"HIGH on the number, the instrument, both votes, and the adoption chronology — all from Berkeley's own primary documents. HIGH-MODERATE on NUMBER_IN_INSTRUMENT_ONLY, with one specific limit stated belo","Berkeley is a high-value case precisely because it is the strongest possible test of the null: the CCOPS machinery worked, adversarially, and still never touched the number. 1) THE NUMBER IS A VENDOR/TEMPLATE DEFAULT, AND THE DOCUMENT PROVES IT ON ITS FACE. Berkeley's § 1305.8 retention paragraph is the Lexipol template paragraph. The same 2023 council packet reproduces Vallejo PD Policy 426.4, whose corresponding sentence is word-for-word identical with the proper nouns swapped: Vallejo's reads ""Flock Safety will purge their data at the end of the 30 days of storage. However, this will not preclude VPD from maintaining any relevant vehicle data ... pursuant to the established City of Vallej"
San Francisco,CA,Admin. Code Ch. 19B (CCOPS),"OPERATING — SFPD holds a Board-approved 19B Surveillance Technology Policy for ALPR, republished by SFPD as recently as May 2026, whose footer on every page reads ""Approved by Board of Supervisors Ordinance 255-23 on Dec","The Board-approved instrument names NO ALPR camera vendor. It names only the data host: ""NCRIC and/or any other vendor utilized by the Department may host the ALPR data repositories"" (Northern Califor","YES — full Chapter 19B ordinance process, documented end to end. Ordinance Section 2(c)-(e): SFPD submitted policy amendments to COIT on September 21, 2023; ""On September 21, 2023, COIT held a public hearing on the Police Department's Surveillance Technology P",NUMBER_IN_INSTRUMENT_ONLY,"12 months (1 year) from capture for general ALPR records; 5 years if connected to a criminal investigation or criminal intelligence file. NOTE ON UNITS — the instrument never says ""365 days."" It says ""12 months from capture"" and, in the disposal field, ""cleare","SFPD ""Surveillance Technology Policy — Automated License Plate Reader (ALPR)"", the attachment approved by Ordinance 255-23 (File No. 231161). The number is NOT in the ordinance. I extracted the full text of the enacted ordinance (o0255-23.p",2023-12-12 (FINALLY PASSED). First reading 2023-12-05; Rules Committee recommendation 2023-11-27; Mayor approved 2023-12-19; effective 30 days after enactment. The policy this ordinance AMENDED was it,"Unanimous 11-0 on both readings, no dissent, no roll-call division. ""December 05, 2023 Board of Supervisors - PASSED ON FIRST READING / Ayes: 11 - Chan, Dorsey, Engardio, Mandelman, Melgar, Peskin, Preston, Ronen, Safai, Stefani and Walton""",PRIMARY,batch1:ccops-san-francisco,"HIGH on every documentary element: instrument identity, retention number and its verbatim sentence, ordinance number, file number, all five action dates, and both 11-0 vote rosters — all read from pri","STRONGEST FINDING FOR THE PAPER — San Francisco is the clean case where a maximally complete CCOPS record deliberates everything except the number. Three things stack: (1) THE NUMBER IS EXPLICITLY DELEGATED, IN WRITING, TO A BODY THAT NEVER FACED A VOTE. The policy does not assert 12 months; it defers: ""SFPD defers to the NCRIC retention standard."" The justification field is not a rationale but a citation to an outside authority: ""Reason for retention: NCRIC policy and SFPD Retention schedule."" NCRIC is the Northern California Regional Intelligence Center, a federally-funded regional fusion center that no San Francisco voter or supervisor elects. San Francisco's 19B ordinance, the strongest "
Seattle,WA,SMC 14.18 (CCOPS),"OPERATING (currently suspended). SPD ALPR was approved city-wide by Ordinance 127044 (CB 120778, passed 2024-06-18) expanding it from 11 vehicles to the whole patrol fleet, and the authorization remains in force; however","Axon for patrol ALPR (Axon Fleet 3 in-car video platform / Fleet 3 Hub, with reads stored on Evidence.com); Genetec Security Center / Genetec Patroller for parking-enforcement ALPR. The 2024 ordinance","YES, fully. The CCOPS process ran twice: original Surveillance Impact Report adopted by Ordinance 126312 (CB 120025) on 2021-04-19, then a material-update SIR adopted by Ordinance 127044 (CB 120778) on 2024-06-18. Basis: the ordinance recites the trigger (""[a]",NUMBER_IN_INSTRUMENT_ONLY,90 days for patrol ALPR read data not tied to an investigation (auto-purge from Evidence.com thereafter); 24 hours for parking-enforcement ALPR detections; case-related data retained per the state records-retention schedule for the case type. Note the Genetec ,"The 90-day number is NOT in the operative text of the approving ordinance. It appears only (a) in the 2023 Surveillance Impact Report, Attachment 1 to Ordinance 127044, which the Council ""accepts"" in Section 1 (sections 2.3, 4.2, 5.1, 5.3, ",Fleet-wide material update: Ordinance 127044 / CB 120778 passed by City Council 2024-06-18; approved by Mayor Bruce A. Harrell and filed by the City Clerk 2024-06-24. Original ALPR SIR: Ordinance 1263,"UNRESOLVED tally. The signed ordinance records only ""Passed by the City Council the 18th day of June, 2024"" with no roll call. I could not retrieve the Legistar legislative-history table for CB 120778: clerk.seattle.gov/search/ordinances/12",PRIMARY,batch1:ccops-seattle,"HIGH on everything drawn from primary instruments: I read the complete text of Ordinance 127044 (all four operative sections, all recitals, signature block) plus both attachments in full (the 2023 SIR","STATE-LAW TIMING, the question asked directly. Seattle's 90-day number decisively PREDATES Washington's 21-day statutory ceiling. The number was set in the 2023 SIR, ratified by ordinance 2024-06-18, and carried into SPD Policy 16.170 revised effective 2024-10-15. SB 6002 (Driver Privacy Act) was signed 2026-03-30, roughly twenty months later. Seattle's own SIR is explicit that no such ceiling existed when the number was chosen: ""ALPR use is not legally constrained at the local, state, or federal level."" Does any record tie them? Not in any city instrument I could reach. I found no Seattle ordinance, SIR amendment, or revised SPD policy conforming the 90 days down to 21. What exists is an op"
New York City,NY,Admin. Code 14-188 (POST Act),"OPERATING — NYPD operates fixed and mobile LPRs feeding the Domain Awareness System (DAS); the current Impact and Use Policy is dated February 4, 2026 and describes active deployment, historical search, and NJ agency acc","Leonardo Elsag. Named only in the 2026 version: ""LPRs used by the NYPD are manufactured by Leonardo Elsag."" The April 11, 2021 version contains no manufacturer sentence (grep for manufactur/Leonardo/E","PARTIAL. The POST Act mandates two of the three CCOPS elements and omits the third. Present: an NYPD-authored impact-and-use instrument, and mandatory publication plus a 45-day public comment period. Absent: any governing-body vote. Basis — DOI/OIG-NYPD descri",NUMBER_IN_INSTRUMENT_ONLY,"Five (5) years. Byte-identical in both versions (md5 of the two extracted lines collapses to one hash): ""Data collected through NYPD's LPRs is retained for five (5) years."" Unchanged across 4 years 10 months, from April 11, 2021 to February 4, 2026, surviving ","NYPD-authored ""License Plate Readers: Impact and Use Policy"" — an agency instrument, not an ordinance, resolution, or council-adopted policy. Published under NYC Admin Code § 14-188 (POST Act). Two versions read in full: April 11, 2021 (tit","2021-04-11 (original IUP, number first published); 2026-02-04 (current version, number carried forward unchanged). Draft IUPs were published 2021-01-11 per OIG; the 45-day comment window ran from that","NONE on the retention number, at any point, by any governing body. The POST Act vests the final policy in NYPD after comment. The Council did vote on Local Law 56 of 2025, an amendment to the POST Act, but that amendment addressed process, ",PRIMARY,batch1:ccops-nyc,"HIGH that no governing body ever voted on the five-year number, and HIGH that the number is unchanged 2021-2026. Both rest on full primary text, not snippets. Record completeness, stated honestly: the","READ THE CAVEAT IN deliberation_code BEFORE USING THIS ROW. This is a boundary case that tests the codebook, and it is more interesting than a clean null. NYC is the strongest possible test of the paper's thesis and it comes out in the thesis's favor, but not by the mechanism you might expect. The record here is not thin. It is unusually thick: a mandated instrument, a documented draft-to-final change table proving public comment actually moved text, a dedicated inspector-general audit that performed a section-by-section review of this exact policy, repeated council oversight hearings, and a council amendment to the enabling statute. Almost no other jurisdiction in the frame will have this m"
Cambridge,MA,Mun. Code Ch. 2.128 (CCOPS),"TERMINATED — Cambridge PD ran fixed Flock Safety ALPR cameras following a Feb. 3, 2025 City Council approval, the Council unanimously suspended use on Oct. 20, 2025 over federal/out-of-state data sharing, and the City te","Flock Safety. Named in press coverage of the suspension (""Flock Safety, which makes the license plate readers"", https://www.cambridgeday.com/2025/10/21/cambridge-wants-surveillance-tech-paused-until-c","YES for the programme decision, UNVERIFIED for the use-policy document. Impact report + governing-body vote are both confirmed: CPD filed a surveillance technology report with the Council and the Council voted. Crimson (2025-02-04): ""In a 6-3 vote, the council",DELIBERATED_PROGRAMME_ONLY,"30 days ceiling / 14 days floor, binding the VENDOR rather than the department. Verbatim from CPD Policy 41-12, section VI.F.1: ""Bulk data from ALPRs will not be stored on the department's server and will only be stored by Cambridge Police Department ALPR vend","AGENCY SOP, not a council instrument. City of Cambridge Police Department, Policies and Procedures Manual, ""Automated License Plate Recognition System (ALPR)"", POLICY NUMBER: 41-12, EFFECTIVE DATE: August 7, 2025, issuing authority Christin","ALPR council approval: February 3, 2025 (derived — Crimson article dated 2025/2/4 describes the vote as occurring ""Monday evening""; Feb. 3, 2025 was that Monday, corroborated by a search-result title ","Approval: 6-3, Feb. 3, 2025, approving roughly 15 to 20 ALPR units (plus a GrayKey phone-unlocking device in the same session), after roughly 30 residents spoke against in public comment. Suspension: UNANIMOUS, Oct. 20, 2025 — councillors """,PRIMARY + press,batch1:ccops-cambridge-ma,Split by field. HIGH: retention number and its exact wording (read verbatim from the primary agency document); ALPR status TERMINATED; vendor = Flock Safety; the 6-3 February approval and the unanimou,"Cambridge is a high-value case for the sampling frame precisely because the CCOPS record here is unusually rich and STILL does not show the number being chosen. Four findings worth carrying into the paper: (1) THE NUMBER WAS SET DOWNSTREAM OF THE VOTE. The Council voted Feb. 3, 2025. The only instrument I can read that carries the number is CPD Policy 41-12, an internal SOP issued by the Police Commissioner and effective August 7, 2025 — roughly six months AFTER the approval vote. The number was before the council in CPD's filed impact report (secondary attestation), but its authoritative textual home is an agency document the council never voted on, and that document tellingly cites ""the Ci"
Somerville,MA,Code of Ords. secs. 10-61..10-69 (CCOPS),"NEVER — Somerville's CCOPS ordinance bars acquisition or use of unapproved surveillance technology without a council-approved impact report and technology-specific use policy, and the city's complete published index of e","None. No ALPR vendor appears anywhere in Somerville's surveillance record. CONTAMINATION TRAP CLEARED: a national Flock agency-network cross-section held in this project's corpus contains only ""Somerv","The CCOPS process exists but was NEVER invoked for ALPR. Somerville Code of Ordinances ch. 10, art. III, secs. 10-61 to 10-69 (""Public Oversight of Surveillance Technology""), enacted as Ordinance No. 2019-20, Docket #209044. Under sec. 10-65 the mayor's office",NO_ALPR,"N/A — no ALPR retention number exists because no ALPR instrument exists. The enabling ordinance mandates that a number be stated in any approved use policy but prescribes none itself: sec. 10-64(b)(6) requires ""the time period, if any, for which information co","None. No ALPR use policy, impact report, council order, or portal value exists in Somerville's published surveillance record.","No ALPR adoption date. Enabling instrument: Ordinance No. 2019-20 ordained IN CITY COUNCIL October 10, 2019 (Docket #209044, Item ID 21864); by sec. 10-69 it took effect nine months after adoption (ap","No ALPR vote. The enabling surveillance ordinance was ordained UNANIMOUS on 2019-10-10, with 11 ayes recorded: Hirsch, Mbah, Rossetti, White Jr., McLaughlin, Scott, Ewen-Campen, Clingan, Niedergang, Davis, Ballantyne. The recorded amendment",PRIMARY,batch2:ccops-somerville-ma,"MODERATE-HIGH for NO_ALPR. The record I searched is close to complete for the purpose. Somerville's ordinance manufactures exactly the defined public record this frame relies on, and I read its full p","DIRECT ANSWERS TO THE TASK. (1) Does Somerville PD operate ALPR? No evidence it does, and affirmative structural evidence it does not: the ordinance forbids acquisition without council approval, and no ALPR approval exists in a record designed to make such approvals public. (2) Under which approved use policy? None — the question does not arise. (3) Retention number quoted verbatim? None exists to quote for ALPR. (4) Does the council record show the retention NUMBER discussed or amended? Not applicable to ALPR; but note the one adjacent datum, that the only recorded amendments to the enabling ordinance itself (from the 10/3/19 Legislative Matters Committee) were paragraph renumbering and a c"
