agency,state,event_date,code,number_before,number_chosen,number_source,default_at_time,instrument,vote,source_quality,source,notes
Folsom PD,CA,2023-02-28,DELIBERATED_NUMBER,,120,governing-body instrument,30,Resolution 10995 (consent calendar),5-0,PRIMARY,closure:healdsburg-folsom-gaps,Staff report names Flock's 30-day default; portal displays 121; no public instrument reconciles 120 vs 121; Lexipol manual never conformed (still minimum-one-year in 2023/01 and 2024/11 editions)
Austin PD,TX,2023-06-08,DELIBERATED_NUMBER,,7,governing-body instrument,30,Council action on pilot terms,9-1,HIGH,ledger:F109,Adopted 7 over APD's explicit defense of 30; ran in production 2023-06 to 2025-06; contract via reseller Insight Public Sector; auditor 2025: adhered to 7-day safeguard
Oakland PD,CA,2023-10-17,DELIBERATED_NUMBER,,30,governing-body instrument,30,Resolution 89952 C.M.S. adopting DGO I-12,8-0,PRIMARY,closure:f121-adoption-records,F121 hit 1: negotiated with Privacy Advisory Commission (PAC rec 2023-10-05); purge-at-30 sentence in adopted DGO; readopted 2024-07-16 Reso 90357; Flock default never cited in record; state two-year catch-all available
Palo Alto PD,CA,2023-04-03,DELIBERATED_NUMBER,,30,governing-body instrument,30,Council action item 11 (contract + ALPR Surveillance Use Policy),7-0,PRIMARY,closure:f121-adoption-records,F121 hit 2: staff report named the one-year-and-longer norm and rejected it with an investigative-needs rationale; confirmed twice
Town of Woodside,CA,2023-01-10,DELIBERATED_NUMBER,30 (draft),60,governing-body instrument,30,Resolution 2023-7553 Exhibit A,Unanimous roll call (Brown Dombkowski Fluet Goeld Wall Shaw),PRIMARY,closure:smcso-woodside-primaries,Agenda packet draft arrived at 30; council debated 30 vs 60 and adopted 60; SMCSO operates under contract; SMCSO manual defers to 'the jurisdiction in which it is deployed'
San Leandro PD,CA,2022-04-04,DELIBERATED_NUMBER,,15,governing-body instrument,30,Resolution (file 22-240; Enactment 2022-054),Unanimous,PRIMARY,closure:san-leandro-15-to-30,Resolution names Flock's 30 as 'the default retention period' and chooses 15; first CA council document naming the default as a default
San Leandro PD,CA,2023-12-20,ADMINISTRATIVE_REVERSION,15,30,chief departmental directive,30,Departmental Directive 23-01 (Interim Chief Kevin Hart),n/a (no council instrument),PRIMARY,closure:san-leandro-15-to-30,Directive rewrites Lexipol 418.5 to 30 days purged on the 31st for 'any 3rd party server such as the NCRIC Flock or Axon'; council simultaneously approved contract amendments (Reso 2023-182/183 6-0) without touching retention; NEW CODE this project defines
Town of Eatonville,WA,2023-12-11,DELIBERATED_NUMBER,30 (order form),15,governing-body instrument,30,Council authorization with imposed condition,2-2 deadlock on order form then unanimous with 15-day condition,PRIMARY,closure:statutes-me-nh-eatonville,Flock's order form printed 'Retention Period: 30 Days'; council amended the vendor's paperwork; the panel's only sub-30 row explained
Menlo Park PD,CA,2024-10-08,DELIBERATED_NUMBER,180 (6 months),30,governing-body instrument,30,Ordinance 1119 amending ch. 2.56 (introduced with Flock MSA),Council,PRIMARY chain,ledger:F78,BOUNDARY CASE for the landings count: deliberated (ordinance rewrite) and landed at 30; City rewrote its own ordinance from six months to thirty in the session it procured Flock and applied 30 to the non-vendor NCRIC stream; stated motive privacy; do not assert the default was presented as a default
Edgewater PD,CO,2025-08-19,DELIBERATED_PROGRAMME_ONLY,,,NOT IN GOVERNING RECORD; value from: city FAQ = 30,30,Council discussion; chief asked to develop retention policy,Consensus (no vote on number),VERIFIED,closure:edgewater-okc-verification,City FAQ verbatim: 'automatically deleted after thirty days'; further deliberation 2025-09-16; number never entered the council record
Oklahoma City,OK,2026-08-18,DELIBERATED_PROGRAMME_ONLY,30,,NOT IN GOVERNING RECORD; value from: chief announcement (Journal silent) = 7,7 (new),Journal item IX.B (renewal $270k),5-3 (AYES Holt Carter Avers Stone Hinkle; NAYS Cooper Hamon Pennington; Stonecipher absent),PRIMARY,closure:edgewater-okc-verification,'Retention' and 'Bacy' absent from the official Journal; chief announced 7-day move and National Lookup opt-out in presentation; caution: Free Press OKC reported the amended contract cap as 30 (re-verify before citing)
Troy,NY,2026-05,DELIBERATED_NUMBER (pending),30,2 (proposed),governing-body instrument,30,Proposed Local Law No. 3 (48-hour cap),Pending (September vote),PRESS,ledger:F110 + LONG_TAIL 19,Compromise terms reported Aug 2026: annual audits + National Lookup restriction
Bastrop PD,TX,2026-08-25,PENDING (direction only),30,7 (recommended),n/a,7 (new),Workshop item 4A; ad hoc committee direction; chief-approved Policy 8.6 markup,No adoption noticed or taken,PRIMARY,closure:bastrop-outcome-check,The '30 (7)' is an interlineated markup on the F89 template sentence in the packet; continued to 2026-09-01 workshop; may resolve departmentally rather than by council
Fort Collins,CO,2026-06-16,EXIT,30,,n/a,30,Council vote terminating contract; 15 cameras removed,6-1,SECONDARY (press + city),LONG_TAIL 22,Pre-termination retention 30; council rejected retaining shortened data locally
Asheville,NC,2026-08-25,EXIT,30,,n/a,7 (new),Council resolution directing termination; 11 cameras removed,5-2,SECONDARY (press; resolution text quoted),LONG_TAIL 4,Exit does not eliminate Axon dash-mounted ALPR; scoping point
Santa Clara County BoS,CA,2026-02-24,VENDOR_CONDITION,30 (city systems),,n/a,30,Board minutes Item 8: consolidated SUP for Saratoga Cupertino Los Altos Hills; condition: no Flock as vendor/contractor,3-2 (Duong Lee Abe-Koga vs Arenas Ellenberg),PRIMARY,closure:sccso-ban-oakley,Sheriff's Feb 26 release: consequently required to stop operating Cupertino/Saratoga cameras; scoped condition not countywide ban
Hays County,TX,2026,EXIT,,,n/a,,Commissioners Court vote,Unverified,SECONDARY,LONG_TAIL 18,Re-verify before print
Monroe County,IN,2026-07,EXIT,,,n/a,,Board of Commissioners termination,Unverified,SECONDARY,LONG_TAIL 16,Distinguish from Monroe County MI
North Branch,MN,2026-08,PAUSE,,,n/a,,Council vote to pause,Unverified,SECONDARY,LONG_TAIL 21,Pause pending contract exit
Dayton PD,OH,2026-05-01,SUSPENSION,30,,n/a,30,Indefinite program suspension after internal audit (~7100 unauthorized external immigration-purpose queries),City action,MIXED (city FAQ + press),LONG_TAIL 26,"GO 3.02-8 had set 30; scandal moved the program, not the number"
Boulder,CO,2026,UNDELIBERATED_AFFIRMATIVE,30,30,portal/FAQ only,30,City-manager administrative procurement (no council vote),n/a,SECONDARY (named official),LONG_TAIL 3,Deputy City Manager: contract is 'an administrative procurement matter'; class action filed 2026-05-28 (Freeman & Steel); competitive RFP opened; the only affirmative undeliberated coding
Monroe County SO,MI,2026-08,ADOPT_NEW_DEFAULT,30,7,n/a,7 (new),Sheriff operational policy update,n/a,SECONDARY,ledger:F110,Vendor justification statistic propagated verbatim in rationale
Lucas County SO,OH,2026-08-19,REFUSE_KEEP,30,30,n/a,7 (new),Sheriff policy (stricter logging + local portal),n/a,SECONDARY,LONG_TAIL 15,"Sheriff Navarre: shorter window 'could hinder investigations'; 900k outside searches/month memo prompted controls, not retention change"
Foster City PD,CA,,UNDELIBERATED (exemplar),,30,portal/FAQ only,30,Agency FAQ carrying vendor template sentence,n/a,LEDGER,ledger:F89,Template family exemplar; number only in FAQ/portal
Morgan Hill PD,CA,,UNDELIBERATED (exemplar),,30,portal/FAQ only,30,Portal/SOP only,n/a,LEDGER,ledger:v7-s6,Class representative for the 96.8% mass
